Dossiê;Oferta;Evento;Status;Inserido em;Atualizado em;Inseriu?;Atualizou?;Nem nem?;
17589;2359383;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17231;2359347;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17668;2359337;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
11529;2359389;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:44.000-03:00;;;;
17391;2359359;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
14749;2359369;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
17385;2359361;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17036;2359356;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
16353;2359357;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
8588;2359334;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:44.000-03:00;;;;
16358;2359360;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
17433;2359382;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17441;2359370;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17555;2359335;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17444;2359372;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
15584;2359384;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
17648;2359387;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
15766;2359331;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
17597;2359368;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17473;2359386;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
16301;2359364;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
13818;2359324;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
13324;2359385;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:45.000-03:00;;;;
